[2025-04-30T18:34:58.226+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-04-30T18:34:58.255+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: TFL_DATA_DAG_V2.load_data manual__2025-04-30T17:22:54.081203+00:00 [queued]>
[2025-04-30T18:34:58.270+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: TFL_DATA_DAG_V2.load_data manual__2025-04-30T17:22:54.081203+00:00 [queued]>
[2025-04-30T18:34:58.272+0000] {taskinstance.py:2867} INFO - Starting attempt 5 of 6
[2025-04-30T18:34:58.294+0000] {taskinstance.py:2890} INFO - Executing <Task(PythonOperator): load_data> on 2025-04-30 17:22:54.081203+00:00
[2025-04-30T18:34:58.308+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'TFL_DATA_DAG_V2', 'load_data', 'manual__2025-04-30T17:22:54.081203+00:00', '--job-id', '473', '--raw', '--subdir', 'DAGS_FOLDER/my_dag.py', '--cfg-path', '/tmp/tmpirrx3v1c']
[2025-04-30T18:34:58.313+0000] {standard_task_runner.py:105} INFO - Job 473: Subtask load_data
[2025-04-30T18:34:58.313+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=3320) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-04-30T18:34:58.316+0000] {standard_task_runner.py:72} INFO - Started process 3323 to run task
[2025-04-30T18:34:58.397+0000] {task_command.py:467} INFO - Running <TaskInstance: TFL_DATA_DAG_V2.load_data manual__2025-04-30T17:22:54.081203+00:00 [running]> on host 605a3e254bf1
[2025-04-30T18:34:58.518+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='abdulsalam' AIRFLOW_CTX_DAG_ID='TFL_DATA_DAG_V2' AIRFLOW_CTX_TASK_ID='load_data' AIRFLOW_CTX_EXECUTION_DATE='2025-04-30T17:22:54.081203+00:00' AIRFLOW_CTX_TRY_NUMBER='5' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-04-30T17:22:54.081203+00:00'
[2025-04-30T18:34:58.521+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-04-30T18:34:58.558+0000] {base.py:84} INFO - Retrieving connection 'snowflake_conn'
[2025-04-30T18:34:58.560+0000] {connection.py:424} INFO - Snowflake Connector for Python Version: 3.13.2, Python Version: 3.12.9, Platform: Linux-6.10.0-linuxkit-x86_64-with-glibc2.36
[2025-04-30T18:34:58.562+0000] {connection.py:1213} INFO - Connecting to GLOBAL Snowflake domain
[2025-04-30T18:34:58.563+0000] {connection.py:1295} INFO - This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
[2025-04-30T18:35:00.204+0000] {logging_mixin.py:190} INFO - snowflake conn:  <snowflake.connector.connection.SnowflakeConnection object at 0x7f28735d02c0>
[2025-04-30T18:35:33.050+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:35:33.052+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:35:34.557+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:35:34.559+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:35:35.598+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:35:35.600+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:35:36.621+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:35:36.623+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:35:37.741+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:35:37.744+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:35:39.574+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:35:39.579+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:35:40.572+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:35:40.574+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:35:41.612+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:35:41.615+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:35:42.917+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:35:42.920+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:35:44.014+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:35:44.017+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:35:46.194+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:35:46.197+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:35:48.018+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:35:48.021+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:35:49.351+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:35:49.353+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:35:50.631+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:35:50.632+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:35:51.880+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:35:51.887+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:35:53.024+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:35:53.026+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:35:54.157+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:35:54.159+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:35:55.781+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:35:55.785+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:35:57.308+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:35:57.311+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:35:58.437+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:35:58.438+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:35:59.540+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:35:59.542+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:36:00.501+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:36:00.503+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:36:01.493+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:36:01.495+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:36:02.651+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:36:02.654+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:36:04.255+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:36:04.257+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:36:05.199+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:36:05.201+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:36:06.228+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:36:06.231+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:36:07.277+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:36:07.280+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:36:08.857+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:36:08.858+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:36:10.404+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:36:10.407+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:36:11.543+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:36:11.545+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:36:12.589+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:36:12.591+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:36:13.690+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:36:13.692+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:36:15.103+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:36:15.105+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:36:16.410+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:36:16.412+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:36:17.473+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:36:17.476+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:36:18.631+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:36:18.632+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:36:20.063+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:36:20.065+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:36:21.228+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:36:21.230+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:36:22.376+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:36:22.379+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:36:23.535+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:36:23.538+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:36:25.790+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:36:25.793+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:36:26.997+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:36:26.999+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:36:28.009+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:36:28.012+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:36:29.175+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:36:29.177+0000] {logging_mixin.py:190} INFO - t:  1
[2025-04-30T18:36:31.284+0000] {logging_mixin.py:190} INFO - rows:  [(1,)]
[2025-04-30T18:36:31.288+0000] {logging_mixin.py:190} INFO - t:  1
